segment_id,lat,lng
tarumizu_port_to_tarumizu,31.492261,130.701478
tarumizu_port_to_tarumizu,31.493227,130.699097
tarumizu_port_to_tarumizu,31.493188,130.699015
tarumizu_port_to_tarumizu,31.493227,130.698815
tarumizu_port_to_tarumizu,31.493444,130.698481
tarumizu_port_to_tarumizu,31.493521,130.698440
tarumizu_port_to_tarumizu,31.493564,130.698362
tarumizu_port_to_tarumizu,31.493619,130.698182
minatohira_to_tarumizu_port,31.482435,130.695758
minatohira_to_tarumizu_port,31.482709,130.695750
minatohira_to_tarumizu_port,31.482876,130.695680
minatohira_to_tarumizu_port,31.482952,130.695626
minatohira_to_tarumizu_port,31.482990,130.695536
minatohira_to_tarumizu_port,31.482998,130.695431
minatohira_to_tarumizu_port,31.482530,130.693075
minatohira_to_tarumizu_port,31.482521,130.692759
minatohira_to_tarumizu_port,31.482594,130.692740
minatohira_to_tarumizu_port,31.484032,130.692701
minatohira_to_tarumizu_port,31.484114,130.692666
minatohira_to_tarumizu_port,31.484166,130.692584
minatohira_to_tarumizu_port,31.484190,130.692484
minatohira_to_tarumizu_port,31.484190,130.692273
minatohira_to_tarumizu_port,31.484209,130.692172
minatohira_to_tarumizu_port,31.484261,130.692089
minatohira_to_tarumizu_port,31.484401,130.691989
shibushi_port_ent_to_shibushi_port,31.475659,131.108162
shibushi_port_ent_to_shibushi_port,31.475535,131.107881
shibushi_port_ent_to_shibushi_port,31.475375,131.107169
shibushi_port_ent_to_shibushi_port,31.475279,131.106992
shibushi_port_ent_to_shibushi_port,31.469893,131.102073
shibushi_port_ent_to_shibushi_port,31.469695,131.101727
shibushi_port_ent_to_shibushi_port,31.469565,131.101225
shibushi_port_ent_to_shibushi_port,31.469550,131.100805
shibushi_port_ent_to_shibushi_port,31.469734,131.099993
shibushi_port_ent_to_shibushi_port,31.469789,131.099912
shibushi_port_ent_to_shibushi_port,31.470065,131.098373
shibushi_port_ent_to_shibushi_port,31.469959,131.097439
shibushi_port_ent_to_shibushi_port,31.467222,131.093842
shibushi_port_ent_to_shibushi_port,31.466372,131.094177
shibushi_port_ent_to_shibushi_port,31.466300,131.094241
shibushi_port_ent_to_shibushi_port,31.462113,131.095839
shibushi_port_ent_to_shibushi_port,31.461961,131.095949
shibushi_port_ent_to_shibushi_port,31.461423,131.096657
shibushi_port_ent_to_shibushi_port,31.461514,131.096833
shibushi_port_ent_to_shibushi_port,31.461570,131.097033
shibushi_port_ent_to_shibushi_port,31.460910,131.097860
shibushi_port_ent_to_shibushi_port,31.460947,131.097942
shibushi_port_ent_to_shibushi_port,31.461055,131.097931
shibushi_to_shibushi_port_ent,31.475084,131.099919
shibushi_to_shibushi_port_ent,31.477701,131.107757
shibushi_to_shibushi_port_ent,31.477681,131.107837
shibushi_to_shibushi_port_ent,31.477230,131.108351
shibushi_to_shibushi_port_ent,31.477186,131.108443
shibushi_to_shibushi_port_ent,31.477166,131.108545
shibushi_to_shibushi_port_ent,31.477118,131.108606
shibushi_to_shibushi_port_ent,31.476133,131.108504
shibushi_to_shibushi_port_ent,31.475962,131.108441
shibushi_to_shibushi_port_ent,31.475739,131.108265
